Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"In order to continue to the experiment, you must consent to take part in the project",What is your first language?,What is your gender (optional)?,What is your age?,"Before you start, please confirm that you will be able to do the experiment in a quiet place without distractions, that you are holding your device in landscape (horizontal mode) if it is a mobile device, and that you can use both hands to respond. Please select both of the responses below to indicate that you are ready to start the experiment:",PROLIFIC_PID,STUDY_ID
10/08/2020 15:28,10/08/2020 15:31,IP Address,100,147,TRUE,10/08/2020 15:31,R_3p8ZszbBN7DJkN8,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 9,412x846,I consent to take part in the project on the basis set out above (Section A),English,Female,23,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ec83d67cfe53914464d2062,5f31291acb8aea5c9dee6dcf
10/08/2020 15:44,10/08/2020 15:47,IP Address,100,194,TRUE,10/08/2020 15:48,R_3jSu8M33XgVs3yE,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1080x1920,I consent to take part in the project on the basis set out above (Section A),English,Male,34,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5d86c09df681a1001a8dddc8,5f31291acb8aea5c9dee6dcf
10/08/2020 15:57,10/08/2020 15:59,IP Address,100,143,TRUE,10/08/2020 15:59,R_3qdJzmdbJPwUoit,,anonymous,EN-GB,Chrome,83.0.4103.116,Macintosh,1440x900,I consent to take part in the project on the basis set out above (Section A),English,Female,26,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5f0b062853f8960008793934,5f31291acb8aea5c9dee6dcf
10/08/2020 15:58,10/08/2020 16:02,IP Address,100,190,TRUE,10/08/2020 16:02,R_2V2zM2RxXZiSnoR,,anonymous,EN-GB,Chrome,84.0.4147.89,Macintosh,1440x900,I consent to take part in the project on the basis set out above (Section A),English,Female,19,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ea1e178ff3ee50d69b46324,5f31291acb8aea5c9dee6dcf
10/08/2020 15:56,10/08/2020 16:02,IP Address,100,324,TRUE,10/08/2020 16:02,R_2aFvZPl04PJBC4B,,anonymous,EN-GB,Edge,84.0.522.44,Windows NT 10.0,1366x768,I consent to take part in the project on the basis set out above (Section A),English,Male,38,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ec614d37bf5d768c8564186,5f31291acb8aea5c9dee6dcf
10/08/2020 16:00,10/08/2020 16:04,IP Address,100,242,TRUE,10/08/2020 16:04,R_3CH1S7oBJ7xytpv,,anonymous,EN-GB,Chrome,84.0.4147.105,Macintosh,1280x800,I consent to take part in the project on the basis set out above (Section A),English,Female,27,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5f2aed37c08ef8437c72aa73,5f31291acb8aea5c9dee6dcf
10/08/2020 16:05,10/08/2020 16:07,IP Address,100,116,TRUE,10/08/2020 16:07,R_3QF6rZSbFdmuDuO,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 6.1,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Male,41,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5977e3867412f8000194e1fe,5f31291acb8aea5c9dee6dcf
10/08/2020 16:06,10/08/2020 16:08,IP Address,100,141,TRUE,10/08/2020 16:08,R_1LXrzBQVNdhRJBT,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 9,1280x800,I consent to take part in the project on the basis set out above (Section A),English,Female,39,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e9ffa9ee172201b04f1a4c6,5f31291acb8aea5c9dee6dcf
10/08/2020 16:06,10/08/2020 16:11,IP Address,100,288,TRUE,10/08/2020 16:11,R_bDA7GHTYvBgTffH,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 10,424x918,I consent to take part in the project on the basis set out above (Section A),English,Male,29,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5c576413a7890b0001f59a92,5f31291acb8aea5c9dee6dcf
10/08/2020 16:10,10/08/2020 16:13,IP Address,100,148,TRUE,10/08/2020 16:13,R_1gtM5mvLDHhv04d,,anonymous,EN-GB,Chrome,74.0.3729.157,Android 6.0.1,360x640,I consent to take part in the project on the basis set out above (Section A),English,Female,25,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5c477c3b302d8a0001c52ee2,5f31291acb8aea5c9dee6dcf
10/08/2020 16:19,10/08/2020 16:20,IP Address,100,19,TRUE,10/08/2020 16:20,R_WciDX25x87tIFUJ,,anonymous,EN-GB,Chrome,84.0.4147.111,Android 9,800x1280,I consent to take part in the project on the basis set out above (Section A),English,Female,39,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e9ffa9ee172201b04f1a4c6,5f31291acb8aea5c9dee6dcf
10/08/2020 15:56,10/08/2020 16:20,IP Address,100,1443,TRUE,10/08/2020 16:20,R_1E6uzI27HBW0opl,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1360x768,I consent to take part in the project on the basis set out above (Section A),English,Male,18,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e6d03bffab3ff2c403cb205,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:22,IP Address,100,40,TRUE,10/08/2020 16:22,R_2xPrWoW6b45gQZd,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1920x1080,I consent to take part in the project on the basis set out above (Section A),English,Male,25,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5efe309bf2f94230dc588d40,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:22,IP Address,100,37,TRUE,10/08/2020 16:22,R_3J9L9Dtf5RidvDL,,anonymous,EN-GB,Opera,69.0.3686.95,Windows NT 10.0,1366x768,I consent to take part in the project on the basis set out above (Section A),English,Female,23,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ee33ce832efb54e45adc345,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:23,IP Address,100,44,TRUE,10/08/2020 16:23,R_3RflAIkZXQZYdeo,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1280x720,I consent to take part in the project on the basis set out above (Section A),English,Female,24,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e71a80784155f0c75a56c70,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:23,IP Address,100,63,TRUE,10/08/2020 16:23,R_2WYKgoXlDE9wPh9,,anonymous,EN-GB,Chrome,84.0.4147.89,Windows NT 10.0,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Male,40,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ee4aab1232e9d1b4d791bae,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:23,IP Address,100,96,TRUE,10/08/2020 16:23,R_3g6gvBocn2mJZUy,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Female,28,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5d9312aa39412f00187c5490,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:24,IP Address,100,102,TRUE,10/08/2020 16:24,R_xgrtrOrjgDphD4R,,anonymous,EN-GB,Chrome,81.0.4044.138,Macintosh,1280x800,I consent to take part in the project on the basis set out above (Section A),English,Female,34,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5d7a098214f08f00164031a0,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:24,IP Address,100,108,TRUE,10/08/2020 16:24,R_22Q7UcWYDYQWu9a,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1920x1080,I consent to take part in the project on the basis set out above (Section A),English,Male,50,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e94627fbd18cc000995584c,5f31291acb8aea5c9dee6dcf
10/08/2020 16:22,10/08/2020 16:24,IP Address,100,110,TRUE,10/08/2020 16:24,R_33p2pOoCtgiinGp,,anonymous,EN-GB,Firefox,81,Windows NT 10.0,1920x1080,I consent to take part in the project on the basis set out above (Section A),English,Male,19,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5f06f8636d8943077dd53f66,5f31291acb8aea5c9dee6dcf
